receiver: (g=0): rw=read, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
sender: (g=0): rw=write, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
fio-2.6-20-g2caf
Starting 2 processes
fio: waiting for connection
tid=5200 SEND 109784 : poll=0
tid=5200 SEND 109936 : poll=0
tid=5200 SEND 149320 : poll=0
tid=5200 SEND 114512 : poll=0
tid=5200 SEND 109876 : poll=0
tid=5200 SEND 110556 : poll=0
tid=5200 SEND 109504 : poll=0
tid=5200 SEND 109516 : poll=0
tid=5200 SEND 109460 : poll=0
tid=5200 SEND 109416 : poll=0
tid=5200 SEND 110012 : poll=0
tid=5200 SEND 109804 : poll=0
tid=5200 SEND 114452 : poll=0
tid=5200 SEND 109788 : poll=0
tid=5200 SEND 110176 : poll=0
tid=5200 SEND 109844 : poll=0
tid=5200 SEND 109712 : poll=0
tid=5200 SEND 109352 : poll=0
tid=5200 SEND 109164 : poll=0
tid=5200 SEND 109124 : poll=0
tid=5200 SEND 109548 : poll=0
tid=5200 SEND 113380 : poll=0
tid=5200 SEND 110124 : poll=0
tid=5200 SEND 109320 : poll=0
tid=5200 SEND 109352 : poll=0
tid=5200 SEND 109868 : poll=0
tid=5200 SEND 109044 : poll=0
tid=5200 SEND 109768 : poll=0
tid=5200 SEND 110104 : poll=0
tid=5200 SEND 109144 : poll=0
tid=5200 SEND 114788 : poll=0
tid=5200 SEND 109872 : poll=0
tid=5200 SEND 110212 : poll=0
tid=5200 SEND 110104 : poll=0
tid=5200 SEND 109716 : poll=0
tid=5200 SEND 109944 : poll=0
tid=5200 SEND 109376 : poll=0
tid=5200 SEND 110120 : poll=0
tid=5200 SEND 109580 : poll=0
tid=5200 SEND 146464 : poll=0
tid=5200 SEND 114404 : poll=0
tid=5200 SEND 110208 : poll=0
tid=5200 SEND 109628 : poll=0
tid=5200 SEND 110692 : poll=0
tid=5200 SEND 109620 : poll=0
tid=5200 SEND 109776 : poll=0
tid=5200 SEND 109868 : poll=0
tid=5200 SEND 109984 : poll=0
tid=5200 SEND 109720 : poll=0
tid=5200 SEND 113112 : poll=0
tid=5200 SEND 109464 : poll=0
tid=5200 SEND 109208 : poll=0
tid=5200 SEND 109736 : poll=0
tid=5200 SEND 109532 : poll=0
